line	category	action	context	note	text
14	CSS	KHONG-DICH	ARRAY	CSS/webpack sourcemap paths	"webpack://./src/小玉藻写卡器1.0/styles/tamamo-app.css"
38	CSS	KHONG-DICH	ARRAY	CSS/webpack sourcemap paths	"webpack://./src/小玉藻写卡器1.0/styles/writer-base.css"
117	UI	DICH	OBJ_VALUE:aria-label	15 Vue components (render + setup)	"当前写卡环境"
152	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"当前角色"
158	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"世界书"
162	UI	DICH	LogicalExpression	15 Vue components (render + setup)	"尚未命名"
194	UI	DICH	TERNARY	15 Vue components (render + setup)	"格式提醒 ${…}"
194	UI	DICH	TERNARY	15 Vue components (render + setup)	"格式已通过"
222	UI	DICH	TERNARY	15 Vue components (render + setup)	"请先等待当前步骤完成或安全停止"
222	UI	DICH	TERNARY	15 Vue components (render + setup)	"关闭"
223	UI	DICH	TERNARY	15 Vue components (render + setup)	"生成中，暂时不能关闭写卡器"
223	UI	DICH	TERNARY	15 Vue components (render + setup)	"关闭写卡器"
248	UI	DICH	OBJ_VALUE:aria-label	15 Vue components (render + setup)	"写卡器导航"
280	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"玉藻写卡器"
310	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"项目设置"
311	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"角色与世界书"
346	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"完整角色卡"
347	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"新手与高级编辑"
381	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"只生成人设"
382	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"独立调色盘工具"
412	UI	DICH	LogicalExpression	15 Vue components (render + setup)	"写卡器已就绪"
431	UI	DICH	OBJ_VALUE:aria-label	15 Vue components (render + setup)	"体验方向示例"
475	UI	DICH	ARRAY	15 Vue components (render + setup)	"温柔陪伴"
475	UI	DICH	ARRAY	15 Vue components (render + setup)	"欢喜冤家"
475	UI	DICH	ARRAY	15 Vue components (render + setup)	"危险拉扯"
475	UI	DICH	ARRAY	15 Vue components (render + setup)	"冒险搭档"
475	UI	DICH	ARRAY	15 Vue components (render + setup)	"慢热治愈"
480	UI	DICH	CALL:t#1	15 Vue components (render + setup)	"表面温柔从容，实际上很害怕再次失去重要之人的狐妖医生。"
481	UI	DICH	CALL:t#1	15 Vue components (render + setup)	"刚刚签订契约、还在互相观察的搭档"
482	UI	DICH	CALL:t#1	15 Vue components (render + setup)	"前期礼貌试探，熟悉后嘴硬心软，亲密后展现明显保护欲。"
496	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"告诉玉藻，你想遇见怎样的人"
500	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"只需回答三个问题，其余世界观、关系阶段和互动系统会自动补全。"
508	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"填入示例"
521	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"这个角色最核心的点子是什么？"
525	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"一句话也可以。身份、气质、矛盾感，想到什么写什么。"
535	UI	DICH	OBJ_VALUE:placeholder	15 Vue components (render + setup)	"例如：表面温柔可靠，实际上很怕被抛下的狐妖医生。"
550	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"她和玩家是什么关系？"
554	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"不确定可以留空，系统会设计一个适合展开故事的初始关系。"
564	UI	DICH	OBJ_VALUE:placeholder	15 Vue components (render + setup)	"例如：刚签订契约的御主、重逢的旧友、互相提防的搭档"
579	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"你希望聊天时有什么感觉？"
580	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"描述相处氛围、剧情方向或你最想体验的关系变化。"
613	UI	DICH	OBJ_VALUE:placeholder	15 Vue components (render + setup)	"例如：前期互相试探，熟悉后嘴硬心软，亲密后有明显保护欲。"
629	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"故事发生在哪里？"
630	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"默认交给玉藻自动安排，也可以指定原作或自己的世界。"
632	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"可跳过"
648	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"自动安排"
649	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"最适合第一次使用"
666	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"原作或已有世界"
667	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"沿用你熟悉的背景"
684	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"自己指定"
685	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"写下一句话世界设定"
702	UI	DICH	TERNARY	15 Vue components (render + setup)	"例如：FGO 第七特异点，或现代都市圣杯战争"
703	UI	DICH	TERNARY	15 Vue components (render + setup)	"例如：妖怪与人类共同生活的现代海滨城市"
725	UI	DICH	TERNARY	15 Vue components (render + setup)	"可以设置第一幕"
725	UI	DICH	TERNARY	15 Vue components (render + setup)	"还差角色点子"
728	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"其余内容都可以交给系统补全"
732	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"将写入这张角色卡"
734	UI	DICH	BINOP:+	15 Vue components (render + setup)	"保存位置："
738	UI	DICH	CALL:r.createStaticVNode#0	15 Vue components (render + setup)	"<div class=\"beginner-plan-list\"><span><i>1</i>理解角色点子与玩家关系</span><span><i>2</i>自动构建适合展开故事的世界</span><span><i>3</i>设置第一幕的文风与故事起点</span><span><i>4</i>生成完整人设、开场白与状态系 …[+104]"
753	UI	DICH	TERNARY	15 Vue components (render + setup)	"正在准备..."
753	UI	DICH	TERNARY	15 Vue components (render + setup)	"继续设置第一幕"
765	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"展开高级编辑"
777	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	" 返回项目设置 "
811	UI	DICH	TERNARY	15 Vue components (render + setup)	"${…} 项提醒"
811	UI	DICH	TERNARY	15 Vue components (render + setup)	"校验通过"
830	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"角色卡已经准备好了"
834	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"世界背景、完整人设、故事第一幕和互动状态已经写入。现在可以直接打开角色卡开始使用。"
842	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"确定并打开角色卡"
848	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"保存位置"
852	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"已生成角色"
853	UI	DICH	BINOP:+	15 Vue components (render + setup)	" 个"
856	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"格式状态"
